arc_i,arc_j,capacity_00,capacity_01,capacity_02,capacity_03,capacity_04,capacity_05,capacity_06,capacity_07,capacity_08,capacity_09,capacity_10,capacity_11,capacity_12,capacity_13,capacity_14,capacity_15,capacity_16,capacity_17,capacity_18,capacity_19,capacity_20
998,997,1420526105,312272243,4695745092,41463702,3429,914699005,329305467,259468049,74434093,832705608,16283580,149362854,12384528,176445208,0,201158131,0,7867685,1523369794,4173126,5869681365
998,superSource00,7601954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7601954
998,970,1395265064,306719145,4612241235,40726358,3368,898433025,323449469,254853961,73110441,817897707,15994011,146706753,12164296,173307505,0,197580961,0,7727775,1496279897,4098916,5765301544
998,superSource08,0,0,0,0,0,0,0,0,2835129,0,0,0,0,0,0,0,0,0,0,0,2835129
998,superSink11,0,0,0,0,0,0,0,0,0,0,0,2979456,0,0,0,0,0,0,0,0,2979456
999,superSink07,0,0,0,0,0,0,0,115640,0,0,0,0,0,0,0,0,0,0,0,0,115640
999,superSource06,0,0,0,0,0,0,886975,0,0,0,0,0,0,0,0,0,0,0,0,0,886975
999,superSource05,0,0,0,0,0,9981860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9981860
999,superSink04,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
999,superSource03,0,0,0,10089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10089
